occurrenceID,eventID,kingdom,family,genus,specificEpithet,vernacularName,verbatimLocality,geodeticDatum,decimalLatitude,decimalLongitude,stateProvince,country,eventDate,month,day,year,modified,coordinateUncertaintyInMeters,sex,individualCount,occurrenceRemarks,recordedBy,recordedByID,identificationVerificationStatus,dateIdentified,identifiedBy,identificationRemarks,datasetID,previousIdentifications,recordSource,informationWithheld,associatedTaxa,floralHostNotes,floral_host_native_not,measurementMethod,images,comment_count,referenceID,catalogNumber,occurrenceStatus,metadataUrl
267397,145752,Animalia,Apidae,Bombus,impatiens,Common eastern bumble bee,Wakan Tipi,WGS 84,44.9532,-93.075,Minnesota,United States,8/2/25,8,2,2025,11/5/25,37.5,Worker,2,,Elise Bernstein,elisebee,Verified,11/7/25,gpugesek,,Bumble Bee Atlas,,Website,FALSE,Agastache foeniculum,,native,samplingProtocol,"https://www.bumblebeewatch.org/media/2025/11/06/cbf3431209a1445f805bf5d632348dd2.jpg, https://www.bumblebeewatch.org/media/2025/11/06/ecf7936a2a4143c8a6249afc812ceb23.jpg, https://www.bumblebeewatch.org/media/2025/11/06/243ebd06c88a44c5bb7481493006ce52.jpg, https://www.bumblebeewatch.org/media/2025/11/06/0815d3c9dbf64cff859bf051485cf1ed.jpg",,,https://www.bumblebeewatch.org/sightings/bee/267397/,present,https://www.bumblebeewatch.org/metadata/
121361,104174,Animalia,Apidae,Bombus,auricomus,Black and gold bumble bee,Wakan Tipi,WGS 84,44.919308,-93.069633,Minnesota,United States,8/8/22,8,8,2022,8/8/22,75,Female,1,,Elaine Evans,fuzzybumblebee,Verified,8/12/22,fuzzybumblebee,EEvans. Based mostly on Black in middle of anterior edge of t2 and ocelli arrangement,OLD_MNBBA,,Website,FALSE,Asclepias incarnata,,native,samplingProtocol,"https://www.bumblebeewatch.org/media/bees/big/5b118315-08be-4c0a-9abb-4bff827132ab.jpg, https://www.bumblebeewatch.org/media/bees/big/dddd868c-a671-4e80-b9d3-8569d066735a.jpg, https://www.bumblebeewatch.org/media/bees/big/d6b78d6c-77cd-4789-b471-c9830c03559b.jpg, https://www.bumblebeewatch.org/media/bees/big/fcd9e9ea-0a19-4487-9094-ed49fc18d84e.jpg",1,,https://www.bumblebeewatch.org/sightings/bee/121361/,present,https://www.bumblebeewatch.org/metadata/
267361,140188,Animalia,Apidae,Bombus,griseocollis,Brown-belted bumble bee,Wakan Tipi,WGS 84,44.9532,-93.075,Minnesota,United States,7/15/25,7,15,2025,8/4/25,12.5,Male,1,,Elise Bernstein,elisebee,Verified,11/6/25,gpugesek,,Bumble Bee Atlas,,Website,FALSE,Asclepias verticillata,,native,samplingProtocol,"https://www.bumblebeewatch.org/media/2025/11/05/7c17a2b101204c19ae6f6e5475932707.jpg, https://www.bumblebeewatch.org/media/2025/11/05/3e05525cda794332ab85261165430ff4.jpg, https://www.bumblebeewatch.org/media/2025/11/05/55fa8a304ac0425ca009c18194e2cef7.jpg, https://www.bumblebeewatch.org/media/2025/11/05/85cec2208fdb425aa469f5253c59fc0f.jpg, https://www.bumblebeewatch.org/media/2025/11/05/9c1648ab076c4cc89eba494d0b6e2045.jpg, https://www.bumblebeewatch.org/media/2025/11/05/37c70744d7c144e19ec0b9d111075aa6.jpg",,,https://www.bumblebeewatch.org/sightings/bee/267361/,present,https://www.bumblebeewatch.org/metadata/
159411,116328,Animalia,Apidae,Bombus,impatiens,Common eastern bumble bee,"Wakan Tipi, wetland area",WGS 84,44.9532,-93.075,Minnesota,United States,8/11/23,8,11,2023,8/21/23,37.5,Worker,1,,Elise Bernstein,elisebee,Verified,9/22/23,fuzzybumblebee,EEvans Same photo used for mulitple specimens. ID onsight by EBernstein,OLD_MNBBA,,Website,FALSE,Centaurea stoebe,,non-native,samplingProtocol,"https://www.bumblebeewatch.org/media/bees/big/3108e9bd-c9f2-43a5-ad8d-5333f1f5b55e.jpg, https://www.bumblebeewatch.org/media/bees/big/14ca6a4a-6e2c-4d49-9319-168a7efce81c.jpg, https://www.bumblebeewatch.org/media/bees/big/6bcec39c-6727-4f0e-817b-86a978be5557.jpg, https://www.bumblebeewatch.org/media/bees/big/dd0215a3-d546-402b-b1e0-858143ce4f72.jpg",1,,https://www.bumblebeewatch.org/sightings/bee/159411/,present,https://www.bumblebeewatch.org/metadata/
267411,145757,Animalia,Apidae,Bombus,impatiens,Common eastern bumble bee,Wakan Tipi,WGS 84,44.9532,-93.075,Minnesota,United States,8/18/25,8,18,2025,11/6/25,37.5,Female,51,,Elise Bernstein,elisebee,Verified,11/7/25,gpugesek,,Bumble Bee Atlas,,Website,FALSE,Chamaecrista fasciculata,,native,samplingProtocol,"https://www.bumblebeewatch.org/media/2025/11/06/db448f72f4224060a4207c3cc1456fc6.jpg, https://www.bumblebeewatch.org/media/2025/11/06/2701403c01e549f8b811d361291be299.jpg, https://www.bumblebeewatch.org/media/2025/11/06/a0bb5fc33d084a8eaede8a3c37f55644.jpg",,,https://www.bumblebeewatch.org/sightings/bee/267411/,present,https://www.bumblebeewatch.org/metadata/
267391,145752,Animalia,Apidae,Bombus,impatiens,Common eastern bumble bee,Wakan Tipi,WGS 84,44.9532,-93.075,Minnesota,United States,8/2/25,8,2,2025,11/5/25,37.5,Worker,15,,Elise Bernstein,elisebee,Verified,11/7/25,gpugesek,,Bumble Bee Atlas,,Website,FALSE,Chamaecrista fasciculata,,native,samplingProtocol,"https://www.bumblebeewatch.org/media/2025/11/06/8f799a5df35d42ef91041e132da4d04b.jpg, https://www.bumblebeewatch.org/media/2025/11/06/a092bb144dfd4c88af0d5c747078d23d.jpg, https://www.bumblebeewatch.org/media/2025/11/06/35c692665d514a7580a7031bf3956591.jpg, https://www.bumblebeewatch.org/media/2025/11/06/1846eb0987d44f7fa962dd0eb0e09c11.jpg",,,https://www.bumblebeewatch.org/sightings/bee/267391/,present,https://www.bumblebeewatch.org/metadata/
267392,145752,Animalia,Apidae,Bombus,auricomus,Black and gold bumble bee,Wakan Tipi,WGS 84,44.9532,-93.075,Minnesota,United States,8/2/25,8,2,2025,11/5/25,37.5,Female,1,,Elise Bernstein,elisebee,Verified,11/7/25,gpugesek,,Bumble Bee Atlas,,Website,FALSE,Chamaecrista fasciculata,,native,samplingProtocol,"https://www.bumblebeewatch.org/media/2025/11/06/20813eb5bf244523bfe9ca589eda7e75.jpg, https://www.bumblebeewatch.org/media/2025/11/06/7b2e0d85dc4641f2afc9004c21758c45.jpg, https://www.bumblebeewatch.org/media/2025/11/06/b3251e14c80b4a08ad21167163f8302d.jpg, https://www.bumblebeewatch.org/media/2025/11/06/18031546b65b4cdda9f9e996171eee0d.jpg, https://www.bumblebeewatch.org/media/2025/11/06/f29dff2aef2b4a1b8a37c1f3ebf7fb26.jpg, https://www.bumblebeewatch.org/media/2025/11/06/430b86d07f2546969c1e79306b2c5a6d.jpg",,,https://www.bumblebeewatch.org/sightings/bee/267392/,present,https://www.bumblebeewatch.org/metadata/
267420,140196,Animalia,Apidae,Bombus,impatiens,Common eastern bumble bee,Wakan Tipi,WGS 84,44.9532,-93.075,Minnesota,United States,7/28/25,7,28,2025,8/4/25,12.5,Worker,4,,Elise Bernstein,elisebee,Verified,11/7/25,gpugesek,,Bumble Bee Atlas,,Website,FALSE,Chamaecrista fasciculata,,native,samplingProtocol,"https://www.bumblebeewatch.org/media/2025/11/06/f5be5e9ca16b40fca05a30c4c15dcaa4.jpg, https://www.bumblebeewatch.org/media/2025/11/06/a60c4e2d66f44e2398e8416ffbf31f3c.jpg",,,https://www.bumblebeewatch.org/sightings/bee/267420/,present,https://www.bumblebeewatch.org/metadata/
267417,140196,Animalia,Apidae,Bombus,auricomus,Black and gold bumble bee,Wakan Tipi,WGS 84,44.9532,-93.075,Minnesota,United States,7/28/25,7,28,2025,8/4/25,12.5,Female,1,,Elise Bernstein,elisebee,Verified,11/7/25,gpugesek,,Bumble Bee Atlas,,Website,FALSE,Chamaecrista fasciculata,,native,samplingProtocol,"https://www.bumblebeewatch.org/media/2025/11/06/4462dba8c0964c2da2e2e07e48b5d820.jpg, https://www.bumblebeewatch.org/media/2025/11/06/661dee73955541ddb544d67fa5408e00.jpg, https://www.bumblebeewatch.org/media/2025/11/06/3fdb4e81d61f444e8795b988b9def0f6.jpg",,,https://www.bumblebeewatch.org/sightings/bee/267417/,present,https://www.bumblebeewatch.org/metadata/
207587,129493,Animalia,Apidae,Bombus,impatiens,Common eastern bumble bee,Wakan Tipi,WGS 84,44.9532,-93.075,Minnesota,United States,8/21/24,8,21,2024,8/28/24,37.5,Male,1,,Elise Bernstein,elisebee,Verified,10/22/24,gpugesek,GP,Bumble Bee Atlas,,Website,FALSE,Chamaecrista fasciculata,,native,samplingProtocol,"https://www.bumblebeewatch.org/media/bees/big/IMG_1601_QzmXXGV.jpg, https://www.bumblebeewatch.org/media/bees/big/IMG_1600.jpg, https://www.bumblebeewatch.org/media/bees/big/IMG_1602.jpg",,12,https://www.bumblebeewatch.org/sightings/bee/207587/,present,https://www.bumblebeewatch.org/metadata/
